user_id,age,location,signup_date,total_purchases,total_events
0,54,Luceroview,2025-12-15,3.0,14
1,60,Ashleymouth,2025-06-14,6.0,17
2,21,East Gracechester,2025-04-02,6.0,22
3,28,Melanieland,2024-08-17,10.0,25
4,30,Jenniferberg,2025-03-02,6.0,22
5,50,Payneside,2024-05-16,6.0,18
6,42,Noahfort,2025-10-10,4.0,11
7,41,Huntborough,2024-11-12,7.0,26
8,36,Melissaland,2024-06-26,5.0,23
9,44,South Emily,2024-11-23,5.0,23
10,27,West Bryan,2024-10-07,4.0,15
11,54,West Tara,2026-01-02,6.0,16
12,54,Smithville,2025-08-22,3.0,21
13,50,West John,2025-04-06,5.0,27
14,20,East Joditon,2025-05-28,6.0,24
15,42,North Brandonview,2024-07-13,3.0,13
16,24,North Zacharyburgh,2024-05-21,7.0,28
17,45,Port Cristian,2025-12-05,10.0,29
18,37,Ortegaberg,2025-07-19,9.0,20
19,47,North Jaimetown,2025-01-27,8.0,26
20,36,Rebeccaberg,2024-04-02,8.0,25
21,23,Mitchellfurt,2025-07-25,4.0,16
22,52,West Anita,2025-05-18,7.0,21
23,56,Shawnmouth,2025-08-30,4.0,22
24,49,East Courtney,2024-07-03,3.0,19
25,56,South Michaelshire,2024-11-07,6.0,22
26,27,Tamiton,2026-02-10,7.0,22
27,35,Arnoldside,2024-05-28,3.0,15
28,52,East David,2025-11-19,5.0,19
29,57,Alexborough,2025-03-28,2.0,22
30,37,Brendaland,2024-04-28,0.0,21
31,26,Port Judy,2026-03-04,7.0,27
32,30,South Jorge,2025-04-12,7.0,21
33,31,Angelachester,2026-01-02,3.0,13
34,47,Christopherton,2024-08-02,6.0,23
35,18,Randyberg,2025-10-19,6.0,22
36,24,East Alexandrafort,2025-01-13,4.0,20
37,32,Tammymouth,2024-12-06,6.0,19
38,30,New Alan,2025-01-23,5.0,21
39,23,Lake Seanview,2025-03-30,2.0,15
40,38,North Angelicashire,2024-08-13,6.0,23
41,52,Lake George,2024-07-14,5.0,15
42,40,Port Brandonstad,2026-02-28,6.0,21
43,33,New Shawn,2025-08-11,4.0,15
44,39,West Malik,2025-06-01,3.0,23
45,30,Lake Steven,2024-07-20,3.0,16
46,55,East Shannon,2025-12-24,6.0,20
47,51,Jonathanville,2026-02-16,3.0,18
48,55,Michaelmouth,2024-04-14,7.0,19
49,25,North Maxshire,2025-12-20,3.0,20
50,38,Johnsonchester,2025-09-02,10.0,25
51,40,Thompsonside,2024-07-23,3.0,14
52,26,Port David,2025-08-16,6.0,21
53,36,South David,2026-01-09,3.0,25
54,59,Hendrickstown,2024-03-25,4.0,21
55,46,Gordonberg,2024-11-30,2.0,12
56,26,Edwardsville,2025-06-29,5.0,22
57,54,Kevinmouth,2024-11-17,4.0,25
58,21,North Tamara,2026-01-05,6.0,17
59,44,East Michaelshire,2024-05-30,4.0,22
60,41,Port Angela,2025-10-29,13.0,31
61,18,North Carolton,2025-03-22,7.0,23
62,54,Port Juan,2025-09-25,3.0,24
63,37,Port Brittanytown,2025-08-04,5.0,18
64,48,Maryfurt,2025-10-17,4.0,15
65,58,Conwayberg,2024-12-06,10.0,26
66,48,Aaronshire,2024-07-05,8.0,18
67,23,North Christinemouth,2025-05-23,6.0,20
68,32,Johnsonborough,2025-12-31,4.0,22
69,32,East Danielle,2025-08-09,5.0,20
70,45,East Josephville,2024-05-20,5.0,16
71,26,North Bobbymouth,2026-02-24,7.0,21
72,46,Galvanview,2025-02-26,7.0,20
73,37,Prattborough,2025-12-08,5.0,25
74,38,Davistown,2025-12-29,7.0,19
75,20,Brownport,2024-12-15,4.0,26
76,26,Ortizmouth,2024-11-15,4.0,23
77,33,East Rita,2025-09-05,5.0,22
78,54,Brittanystad,2025-04-19,7.0,21
79,35,Ginafurt,2025-12-16,5.0,19
80,31,Floresland,2024-11-13,5.0,22
81,29,Port Philipshire,2025-11-06,3.0,15
82,43,Laurachester,2025-09-06,4.0,30
83,59,Natalieland,2025-08-25,4.0,27
84,55,Michaelville,2025-05-02,6.0,28
85,26,Bryanmouth,2024-05-06,6.0,18
86,35,Allenshire,2026-02-21,7.0,19
87,59,West Austinberg,2024-12-11,6.0,21
88,44,North Jenniferton,2025-05-10,3.0,16
89,42,Jacobtown,2024-12-19,5.0,14
90,60,South Claudiahaven,2024-06-11,4.0,18
91,50,South Randall,2025-10-12,0.0,11
92,55,East Jeremyborough,2025-03-13,2.0,17
93,45,Lake Danielville,2025-09-06,5.0,20
94,41,Wilsonmouth,2025-05-06,6.0,19
95,27,Michelleburgh,2026-02-06,9.0,24
96,22,South Monica,2024-05-09,7.0,30
97,31,North Edward,2025-06-05,1.0,19
98,40,New Jenniferberg,2025-08-16,8.0,25
99,23,Lake Allenberg,2024-04-17,5.0,12
100,37,North Renee,2024-03-15,4.0,15
101,18,Lake Williammouth,2024-04-08,2.0,16
102,39,Michellehaven,2025-08-21,2.0,22
103,55,Allenfurt,2025-12-11,2.0,20
104,33,Jaredville,2025-07-01,3.0,12
105,50,South Cherylhaven,2025-11-05,2.0,12
106,35,Claytonport,2026-02-15,3.0,13
107,30,Lake Hollyberg,2025-07-29,3.0,21
108,40,New Sarahview,2024-11-30,3.0,22
109,50,Williamsshire,2025-01-15,8.0,21
110,49,West Jenna,2024-12-23,6.0,21
111,25,West Dennisport,2026-02-09,2.0,22
112,52,Robertborough,2025-02-11,6.0,19
113,24,Hawkinsland,2025-11-19,7.0,31
114,28,North Joditown,2025-12-28,5.0,17
115,27,Lake Jeffreyside,2026-01-17,3.0,16
116,42,Antoniomouth,2025-07-24,3.0,17
117,46,Garrettchester,2024-06-11,5.0,15
118,54,Port Amandastad,2024-12-30,2.0,17
119,40,South Timothy,2025-11-10,4.0,20
120,60,West Williamtown,2024-04-27,3.0,20
121,51,East Bobby,2024-09-12,5.0,20
122,36,Millerport,2024-10-07,6.0,15
123,53,Harrisonberg,2025-11-09,4.0,28
124,55,East Jonfort,2024-05-16,4.0,13
125,26,Jenniferstad,2025-11-11,3.0,24
126,20,New Sarah,2025-08-01,5.0,26
127,32,Lake Paul,2025-03-22,6.0,19
128,47,South Michele,2025-09-23,6.0,20
129,19,Lake William,2024-06-16,3.0,25
130,55,Christopherland,2025-12-10,7.0,18
131,21,Port Christophermouth,2025-08-02,2.0,13
132,39,Charleston,2025-02-25,7.0,21
133,24,New Robert,2024-09-11,8.0,25
134,40,Bettybury,2025-05-08,7.0,18
135,55,Kimberlymouth,2025-12-08,5.0,21
136,45,Port Davidton,2024-09-23,2.0,19
137,46,Josephside,2025-02-26,6.0,18
138,43,Danielton,2024-09-22,11.0,29
139,26,Connerview,2024-11-19,4.0,23
140,19,West Erinview,2025-05-05,6.0,19
141,60,Toddland,2024-06-05,5.0,21
142,57,Ricardoland,2025-04-21,5.0,26
143,25,Chapmantown,2025-04-14,4.0,18
144,29,New Barbara,2024-11-11,3.0,16
145,19,Sharonview,2025-08-28,4.0,23
146,49,Lake Lisafort,2025-07-09,8.0,17
147,59,Lake Jamesview,2025-09-14,3.0,15
148,38,South Jennifermouth,2024-09-24,5.0,20
149,40,South Dennis,2026-03-05,4.0,21
150,20,North Trevorberg,2025-05-19,2.0,19
151,39,North Tina,2026-01-11,1.0,21
152,57,Josephbury,2024-04-29,5.0,22
153,43,East Kimport,2025-08-24,3.0,16
154,18,Atkinschester,2025-08-05,5.0,16
155,46,West Jenniferton,2025-06-17,9.0,21
156,23,Robertsview,2025-05-27,5.0,15
157,22,Port Jamie,2024-05-16,8.0,29
158,52,Port Bobby,2025-05-27,2.0,14
159,48,Port Whitney,2024-09-20,6.0,29
160,36,Fernandezfurt,2024-08-16,4.0,22
161,27,Johnsonchester,2026-03-02,7.0,21
162,27,North Kathryntown,2024-04-28,3.0,13
163,59,Lake Dawn,2024-11-01,11.0,29
164,31,Martinezland,2024-11-05,4.0,18
165,22,Taylorview,2025-02-08,4.0,20
166,51,Lake Albertchester,2024-11-04,7.0,23
167,29,Cruzview,2025-06-30,1.0,18
