user_id,age,location,signup_date,total_purchases,total_events,segment
0,54,Luceroview,2025-12-15,3.0,14,0
1,60,Ashleymouth,2025-06-14,6.0,17,3
2,21,East Gracechester,2025-04-02,6.0,22,2
3,28,Melanieland,2024-08-17,10.0,25,1
4,30,Jenniferberg,2025-03-02,6.0,22,2
5,50,Payneside,2024-05-16,6.0,18,3
6,42,Noahfort,2025-10-10,4.0,11,0
7,41,Huntborough,2024-11-12,7.0,26,1
8,36,Melissaland,2024-06-26,5.0,23,2
9,44,South Emily,2024-11-23,5.0,23,2
10,27,West Bryan,2024-10-07,4.0,15,0
11,54,West Tara,2026-01-02,6.0,16,3
12,54,Smithville,2025-08-22,3.0,21,2
13,50,West John,2025-04-06,5.0,27,2
14,20,East Joditon,2025-05-28,6.0,24,2
15,42,North Brandonview,2024-07-13,3.0,13,0
16,24,North Zacharyburgh,2024-05-21,7.0,28,1
17,45,Port Cristian,2025-12-05,10.0,29,1
18,37,Ortegaberg,2025-07-19,9.0,20,1
19,47,North Jaimetown,2025-01-27,8.0,26,1
20,36,Rebeccaberg,2024-04-02,8.0,25,1
21,23,Mitchellfurt,2025-07-25,4.0,16,0
22,52,West Anita,2025-05-18,7.0,21,3
23,56,Shawnmouth,2025-08-30,4.0,22,2
24,49,East Courtney,2024-07-03,3.0,19,0
25,56,South Michaelshire,2024-11-07,6.0,22,2
26,27,Tamiton,2026-02-10,7.0,22,1
27,35,Arnoldside,2024-05-28,3.0,15,0
28,52,East David,2025-11-19,5.0,19,3
29,57,Alexborough,2025-03-28,2.0,22,2
30,37,Brendaland,2024-04-28,0.0,21,0
31,26,Port Judy,2026-03-04,7.0,27,1
32,30,South Jorge,2025-04-12,7.0,21,3
33,31,Angelachester,2026-01-02,3.0,13,0
34,47,Christopherton,2024-08-02,6.0,23,2
35,18,Randyberg,2025-10-19,6.0,22,2
36,24,East Alexandrafort,2025-01-13,4.0,20,2
37,32,Tammymouth,2024-12-06,6.0,19,3
38,30,New Alan,2025-01-23,5.0,21,2
39,23,Lake Seanview,2025-03-30,2.0,15,0
40,38,North Angelicashire,2024-08-13,6.0,23,2
41,52,Lake George,2024-07-14,5.0,15,3
42,40,Port Brandonstad,2026-02-28,6.0,21,3
43,33,New Shawn,2025-08-11,4.0,15,0
44,39,West Malik,2025-06-01,3.0,23,2
45,30,Lake Steven,2024-07-20,3.0,16,0
46,55,East Shannon,2025-12-24,6.0,20,3
47,51,Jonathanville,2026-02-16,3.0,18,0
48,55,Michaelmouth,2024-04-14,7.0,19,3
49,25,North Maxshire,2025-12-20,3.0,20,2
50,38,Johnsonchester,2025-09-02,10.0,25,1
51,40,Thompsonside,2024-07-23,3.0,14,0
52,26,Port David,2025-08-16,6.0,21,3
53,36,South David,2026-01-09,3.0,25,2
54,59,Hendrickstown,2024-03-25,4.0,21,2
55,46,Gordonberg,2024-11-30,2.0,12,0
56,26,Edwardsville,2025-06-29,5.0,22,2
57,54,Kevinmouth,2024-11-17,4.0,25,2
58,21,North Tamara,2026-01-05,6.0,17,3
59,44,East Michaelshire,2024-05-30,4.0,22,2
60,41,Port Angela,2025-10-29,13.0,31,1
61,18,North Carolton,2025-03-22,7.0,23,1
62,54,Port Juan,2025-09-25,3.0,24,2
63,37,Port Brittanytown,2025-08-04,5.0,18,3
64,48,Maryfurt,2025-10-17,4.0,15,0
65,58,Conwayberg,2024-12-06,10.0,26,1
66,48,Aaronshire,2024-07-05,8.0,18,3
67,23,North Christinemouth,2025-05-23,6.0,20,3
68,32,Johnsonborough,2025-12-31,4.0,22,2
69,32,East Danielle,2025-08-09,5.0,20,3
70,45,East Josephville,2024-05-20,5.0,16,3
71,26,North Bobbymouth,2026-02-24,7.0,21,3
72,46,Galvanview,2025-02-26,7.0,20,3
73,37,Prattborough,2025-12-08,5.0,25,2
74,38,Davistown,2025-12-29,7.0,19,3
75,20,Brownport,2024-12-15,4.0,26,2
76,26,Ortizmouth,2024-11-15,4.0,23,2
77,33,East Rita,2025-09-05,5.0,22,2
78,54,Brittanystad,2025-04-19,7.0,21,3
79,35,Ginafurt,2025-12-16,5.0,19,3
80,31,Floresland,2024-11-13,5.0,22,2
81,29,Port Philipshire,2025-11-06,3.0,15,0
82,43,Laurachester,2025-09-06,4.0,30,2
83,59,Natalieland,2025-08-25,4.0,27,2
84,55,Michaelville,2025-05-02,6.0,28,1
85,26,Bryanmouth,2024-05-06,6.0,18,3
86,35,Allenshire,2026-02-21,7.0,19,3
87,59,West Austinberg,2024-12-11,6.0,21,3
88,44,North Jenniferton,2025-05-10,3.0,16,0
89,42,Jacobtown,2024-12-19,5.0,14,3
90,60,South Claudiahaven,2024-06-11,4.0,18,3
91,50,South Randall,2025-10-12,0.0,11,0
92,55,East Jeremyborough,2025-03-13,2.0,17,0
93,45,Lake Danielville,2025-09-06,5.0,20,3
94,41,Wilsonmouth,2025-05-06,6.0,19,3
95,27,Michelleburgh,2026-02-06,9.0,24,1
96,22,South Monica,2024-05-09,7.0,30,1
97,31,North Edward,2025-06-05,1.0,19,0
98,40,New Jenniferberg,2025-08-16,8.0,25,1
99,23,Lake Allenberg,2024-04-17,5.0,12,0
100,37,North Renee,2024-03-15,4.0,15,0
101,18,Lake Williammouth,2024-04-08,2.0,16,0
102,39,Michellehaven,2025-08-21,2.0,22,2
103,55,Allenfurt,2025-12-11,2.0,20,0
104,33,Jaredville,2025-07-01,3.0,12,0
105,50,South Cherylhaven,2025-11-05,2.0,12,0
106,35,Claytonport,2026-02-15,3.0,13,0
107,30,Lake Hollyberg,2025-07-29,3.0,21,2
108,40,New Sarahview,2024-11-30,3.0,22,2
109,50,Williamsshire,2025-01-15,8.0,21,1
110,49,West Jenna,2024-12-23,6.0,21,3
111,25,West Dennisport,2026-02-09,2.0,22,2
112,52,Robertborough,2025-02-11,6.0,19,3
113,24,Hawkinsland,2025-11-19,7.0,31,1
114,28,North Joditown,2025-12-28,5.0,17,3
115,27,Lake Jeffreyside,2026-01-17,3.0,16,0
116,42,Antoniomouth,2025-07-24,3.0,17,0
117,46,Garrettchester,2024-06-11,5.0,15,3
118,54,Port Amandastad,2024-12-30,2.0,17,0
119,40,South Timothy,2025-11-10,4.0,20,2
120,60,West Williamtown,2024-04-27,3.0,20,2
121,51,East Bobby,2024-09-12,5.0,20,3
122,36,Millerport,2024-10-07,6.0,15,3
123,53,Harrisonberg,2025-11-09,4.0,28,2
124,55,East Jonfort,2024-05-16,4.0,13,0
125,26,Jenniferstad,2025-11-11,3.0,24,2
126,20,New Sarah,2025-08-01,5.0,26,2
127,32,Lake Paul,2025-03-22,6.0,19,3
